n_observations,bayesian_mse,bayesian_mae,bayesian_rmse,bayesian_correlation,dirichlet_mse,dirichlet_mae,dirichlet_rmse,dirichlet_correlation
100,0.13735677491130446,0.2978234585368151,0.3706167493669228,0.4844207612949331,0.2167345535745119,0.3720756737092528,0.46554758465114165,0.17088172346095154
250,0.12766489661691643,0.2747543342892157,0.3573022482673688,0.48334567768231823,0.24349192025543392,0.3963200024243263,0.4934490047162259,0.25550561427631363
500,0.10774668120696955,0.25753163729070927,0.32824789596731546,0.631876216236342,0.2797502345973153,0.41065056263592636,0.5289142034369235,0.34411439748870454
750,0.08749670534473733,0.22745943074189343,0.2957984201187311,0.7021081936679918,0.28317877477756453,0.412899053748596,0.5321454451346591,0.4047879980292552
1000,0.08473506220119055,0.23058538517106617,0.29109287555897095,0.6812839608604381,0.2816016669799017,0.4193720742176319,0.5306615371212631,0.3801062591422456
1500,0.068895427935504,0.20482125752297042,0.2624793857343925,0.7336393703900105,0.24989628806167638,0.3885742669196582,0.49989627730327857,0.4472307477517613
2000,0.06145628910671088,0.19384746572059353,0.24790379002086854,0.7803210169967868,0.2190532340075137,0.3626967072145137,0.4680312318718845,0.5465135526549237
2500,0.05753339985901338,0.1769484325215934,0.23986120957548218,0.7799855729684959,0.16050813618012622,0.31155091343008123,0.4006346667228464,0.5840633981917815
3000,0.052287890428080346,0.17854375976891051,0.22866545525741389,0.7965784735278435,0.14118187631612306,0.2977172300738362,0.3757417681282227,0.6179187679771483
3500,0.04873379492524396,0.17092785176454936,0.22075732134007234,0.8091096674056946,0.1479846712595836,0.3047679989318329,0.38468775813584655,0.6308869997922453
5000,0.03678306067598476,0.14689454282623318,0.19178910468528904,0.864261189760347,0.10095081715899899,0.24943063110438354,0.317727583251752,0.7374695672113557
7500,0.03975023020317225,0.1496639264604043,0.19937459768780036,0.8471421013302909,0.0796313129432742,0.22230109108207233,0.28219020702936204,0.7615517980278844
10000,0.03365875808812721,0.14077865770233314,0.18346323361406014,0.8677235953052448,0.056012493067465016,0.18920675300307482,0.2366695862747578,0.8194473977692269
15000,0.024039134712882312,0.11870655237462147,0.15504558914358807,0.9075494450144106,0.03889225596518638,0.15567708654344484,0.1972111963484487,0.874244832748544
20000,0.023007198412835408,0.11165802733851364,0.15168123948872322,0.9130711804871904,0.03023907676735368,0.13509697583995925,0.17389386638795998,0.901974556176185
