n_observations,bayesian_mse,bayesian_mae,bayesian_rmse,bayesian_correlation,bayesian_covariance,dirichlet_mse,dirichlet_mae,dirichlet_rmse,dirichlet_correlation,dirichlet_covariance
100,0.16424307824463805,0.3182405589425555,0.40526914297123345,0.5981388637192774,1.0392381615376933e-06,0.25643970285207884,0.4073548916749609,0.506398758738683,0.24893680054095194,3.9453390149568573e-07
250,0.11313973169582069,0.2694319659598249,0.33636250043044436,0.4846399004392458,4.878844674868845e-07,0.2989697723504689,0.4343513278531751,0.5467812838333705,0.23621283116995756,4.142772875838535e-07
500,0.06952508086484363,0.2085571660138576,0.2636760908100005,0.7303306014609066,9.047998321560751e-07,0.24161104209739334,0.3886364553908985,0.4915394613837157,0.4666830309063171,8.796813819150145e-07
750,0.08826511414005933,0.23440543461552202,0.2970944532300449,0.6016830164231715,6.002925954617563e-07,0.26209899148787674,0.3949822550017837,0.5119560444880759,0.38664316657712683,7.102753450500581e-07
1000,0.061974437370036946,0.18905312228251445,0.24894665567152524,0.7398465229893633,8.23605165359093e-07,0.16532850442413696,0.32240389154313315,0.4066060801612993,0.5522998480538657,9.076593725497252e-07
1500,0.06438135659886227,0.18926051043674164,0.2537348155040263,0.7679251794545213,1.0181031519335344e-06,0.15228338926955232,0.30779805778973657,0.3902350436205753,0.6315452192036772,1.0977406343133299e-06
2000,0.05966378720248255,0.18726188392394638,0.24426171865947915,0.7740039689246314,9.821828140833824e-07,0.13189564034638668,0.2825375446903723,0.3631743938473453,0.6554909327942902,1.0860954727216017e-06
2500,0.039817930805292945,0.15444656918014438,0.19954430787495028,0.8452426930793632,1.0444061453744246e-06,0.10828788775432932,0.2595793117443314,0.32907125027010387,0.7206944551412663,1.1874997721273043e-06
3000,0.04684060073964831,0.15958235996829903,0.21642689467727505,0.8120645048582757,9.64535040486826e-07,0.08592705421915511,0.22735002936028353,0.29313316806385986,0.7306607583121315,1.0728902454881642e-06
3500,0.03595914454687493,0.14398218106265495,0.18962896547435715,0.8607506073436498,1.0678302790890626e-06,0.0776900097834796,0.21302582486304095,0.2787292768682178,0.7876827446189238,1.2391486989918582e-06
5000,0.040451742897510634,0.1553189426715151,0.20112618650367395,0.8442298898639367,1.0537561500549357e-06,0.0640388399305607,0.1956250593631166,0.2530589653234216,0.7979750874134236,1.1576746969433722e-06
7500,0.029423123927527307,0.12715629117058064,0.17153169948300317,0.8863147322510034,1.1021157387770948e-06,0.03850827551045363,0.15430668573478182,0.19623525552370458,0.8720206243660683,1.2132575765770591e-06
10000,0.021843419641727077,0.1141967241672564,0.14779519492096851,0.9154151540646951,1.1350696769704984e-06,0.028583027136625735,0.13045791357169842,0.16906515648301318,0.9006598461470892,1.215558658588127e-06
