n_observations,bayesian_mse,bayesian_mae,bayesian_rmse,bayesian_correlation,bayesian_covariance,dirichlet_mse,dirichlet_mae,dirichlet_rmse,dirichlet_correlation,dirichlet_covariance,spatial_mse,spatial_mae,spatial_rmse,spatial_correlation,spatial_covariance
100,0.110498320673638,0.2781972635132341,0.3324128768168255,0.5168934811815192,5.534489944716141e-07,0.24601752423995732,0.39619613632969714,0.4960015365298351,0.19814914074370027,2.8842869250205566e-07,2.3349176725172818,1.241843251869527,1.52804374038091,0.2203770099410456,1.2005958595871583e-06
250,0.1283177189622931,0.2638600696880339,0.35821462695190587,0.5741966638847873,8.172222939299552e-07,0.27782403786746934,0.4088277902710809,0.5270901610421782,0.3353752334598286,6.105213555304417e-07,1.0660847997080003,0.7758013390372882,1.0325138254318924,0.35708234291838387,1.3720617628065257e-06
500,0.08775025781606995,0.2345592820659618,0.2962267000391253,0.6362749950455089,7.292595865309708e-07,0.25507643856883505,0.4166570987978346,0.5050509267082232,0.4004340947991382,7.324166609513033e-07,0.5110087630801501,0.578285000519425,0.714848769377237,0.43434861430352467,1.198493978397952e-06
750,0.06619186580670336,0.20028456942013084,0.25727779889975616,0.7144788895277612,7.572301255498787e-07,0.23754679672903292,0.3857069928803795,0.4873877273065387,0.4396330330804955,7.986365790494468e-07,0.36327268390341794,0.47282163165873586,0.6027210664174747,0.47266781996417784,1.1219426401059294e-06
1000,0.06892274414239834,0.20013840658511176,0.2625314155342144,0.7216470268212744,8.530923339411916e-07,0.178514219798917,0.3364087051686145,0.42250943160942217,0.5298821826149931,8.886274003965613e-07,0.24524188902656263,0.3894861856112897,0.49521903136547835,0.5605428515615757,1.1640523392519648e-06
1500,0.05950909047201245,0.18429202307180015,0.2439448512922797,0.7712762130373201,9.64631449628623e-07,0.13679845576586552,0.29309118168734055,0.36986275260678186,0.6522688798748516,1.0983590826433414e-06,0.1646555104479607,0.3174251704906495,0.4057776613466551,0.6794993580902317,1.3062553836853673e-06
2000,0.06059510546790225,0.1901045761758894,0.24616073096231708,0.7710852194897095,9.809751870011826e-07,0.1359597221760832,0.285410641513771,0.36872716495544944,0.653743419006409,1.0993612737059698e-06,0.15171184703531923,0.2954076405431078,0.38950205010412875,0.6789804320669621,1.2528084802844846e-06
2500,0.04827586448586536,0.16637530671491582,0.2197176927010325,0.8069452044665418,9.631925761698578e-07,0.10824258376811875,0.2584115844543519,0.32900240693362526,0.7083884326321727,1.1425132034074057e-06,0.11227178473377995,0.25602443501318844,0.33506982068485364,0.7360533565300044,1.2670718470252686e-06
3000,0.052969852060276275,0.1733485575720208,0.23015180220949014,0.7917553140375171,9.66012210130615e-07,0.08332700395519861,0.22201765520827457,0.2886641715821321,0.7358683710662384,1.072171292546908e-06,0.08222357648487198,0.21606718710630152,0.28674653700589303,0.7602859821679533,1.1617553521764226e-06
3500,0.04081886598825572,0.1483852687585234,0.20203679364971056,0.8507688387247518,1.1130073486747782e-06,0.07241123166639815,0.20998911945921084,0.2690933512118019,0.7971461122132761,1.235202556011694e-06,0.06999351752793556,0.20476928121053903,0.2645628801021329,0.8218000917887384,1.3237014758556103e-06
5000,0.04990490874999644,0.1627798841031916,0.2233940660581575,0.809876273170916,1.0219426208101747e-06,0.06380144030708412,0.1942696138481512,0.25258946990538644,0.7977403608584238,1.1539933462321924e-06,0.05678966466546753,0.1803968770402204,0.23830582171962886,0.8251475308627014,1.2084038902500277e-06
7500,0.03008997391899428,0.12885412254571194,0.17346461863732984,0.8838256231012018,1.099951552198008e-06,0.03498796159920747,0.14522928371628072,0.18705069259216195,0.881014096428785,1.2078531698327924e-06,0.03137298488750024,0.13499691309682998,0.17712420751410643,0.8955461561206265,1.2392072491801259e-06
10000,0.02446432960526071,0.12034575450266947,0.15641077202437403,0.9034690685686008,1.0915108089810512e-06,0.029375939527120636,0.13271694056882313,0.1713941058704197,0.897393417119382,1.2080747984663755e-06,0.025403078664342688,0.12193115144038934,0.15938343284150547,0.9112195737629781,1.2238769471156079e-06
15000,0.01945273654894417,0.10825112422174507,0.13947306746803903,0.9249862962479088,1.1524362636047492e-06,0.020461617401370622,0.11161789402958949,0.14304410998489459,0.9274982261039212,1.2327061257672343e-06,0.018390978695188985,0.10563887721635253,0.13561334261491007,0.9346328858253701,1.2385218159582184e-06
20000,0.020947000325295367,0.10832651614620711,0.14473078568602937,0.9189156769215246,1.1398359985888732e-06,0.01855901497571878,0.10742165413286552,0.136231475715852,0.9331293068702908,1.2270162349576312e-06,0.016143950701133662,0.09931400209296443,0.12705884739416481,0.9409380711288551,1.224521699389172e-06
