n_observations,dirichlet_mse,dirichlet_mae,dirichlet_rmse,dirichlet_correlation,dirichlet_covariance,spatial_mse,spatial_mae,spatial_rmse,spatial_correlation,spatial_covariance
100,0.22975913844224075,0.38545887214882074,0.47933197102033653,0.23152477028197282,2.2846238491574676e-07,2.6834648943680968,1.2449322005014443,1.6381284730960808,0.2689612027309955,1.1042599721418683e-06
250,0.2901150897060256,0.4298105936264964,0.5386233282230037,0.2539571875265312,3.074002897928945e-07,1.18626775657391,0.853468560170247,1.0891591970753909,0.28621738617917075,7.861813675918105e-07
500,0.2775681845794156,0.4134022991550358,0.5268474016064003,0.36156277760421845,4.6769614868927427e-07,0.5593479779540426,0.5748260144905286,0.7478956999168016,0.41115789075330117,8.151547658881752e-07
750,0.2347758619354354,0.37860645975667473,0.4845367498296031,0.45738922142156635,5.83220291848793e-07,0.38802997441873366,0.4663315500859398,0.6229205201458158,0.49893090955711067,8.670839543382537e-07
1000,0.20837387619691736,0.3615317459663119,0.4564798749089793,0.46503087195231807,5.542977617284957e-07,0.2552695395082987,0.39934775351312285,0.5052420603119843,0.5225758685386209,7.442764520513463e-07
1500,0.15306830254753256,0.31156391832523067,0.39123944400780014,0.5918828000820885,6.791596802718843e-07,0.17421657210600758,0.330953477204477,0.41739258750726227,0.6422849862452346,8.452631831669824e-07
2000,0.1414015656756416,0.2935637843409567,0.37603399537228227,0.6386471243603759,7.467126214280274e-07,0.14082504886575917,0.2931423704168614,0.37526663702727314,0.6963777085859452,8.804278450767022e-07
2500,0.11588210948477916,0.2648074143774394,0.3404146140881428,0.6678808285260975,7.259204018860524e-07,0.10699151437564142,0.25380226406347645,0.32709557376345133,0.7213318715386298,8.216224722186197e-07
3000,0.09824208579229661,0.24403881072711825,0.3134359357066394,0.7005074593995048,7.295179512686073e-07,0.09108865304952472,0.23386066044203618,0.30180896780832195,0.747600172076376,8.187386275545931e-07
3500,0.08787097636823968,0.2370300101294822,0.2964303904262174,0.7347425108489464,7.669848330512624e-07,0.08111300242614213,0.2231596382353933,0.28480344524977597,0.7739954216435604,8.405209635872204e-07
5000,0.06441095922486283,0.19815919448680988,0.2537931425883348,0.8025255190847452,8.220071582911696e-07,0.055347496322610365,0.18073686066062733,0.2352604861055302,0.8364941864110228,8.682145015284584e-07
7500,0.045242386492033944,0.1667245846354355,0.21270257753970437,0.8547070341697578,8.450531330318524e-07,0.0348583110597707,0.14365877639783828,0.18670380569171774,0.8884257808260219,8.73701143492048e-07
10000,0.03819993006441924,0.1560686494817486,0.19544802394605898,0.8726416827295724,8.419992977370131e-07,0.030148338358706117,0.13876908837368757,0.17363276867776462,0.8988847562392056,8.604888343993849e-07
15000,0.027739092911609742,0.12971831107833887,0.16655057163399273,0.9068239049724925,8.659879751028772e-07,0.022138447517046248,0.11449806795440388,0.1487899442739537,0.9246994244791019,8.737851311393707e-07
20000,0.017768647877819593,0.10037249514187775,0.13329909181168337,0.9361160965794416,8.559042920418388e-07,0.014151517068162625,0.08883258556729842,0.11896014907590956,0.9481639755769982,8.556541058653433e-07
