n_observations,bayesian_0_mse,bayesian_0_mae,bayesian_0_rmse,bayesian_0_correlation,bayesian_0_covariance,bayesian_1_mse,bayesian_1_mae,bayesian_1_rmse,bayesian_1_correlation,bayesian_1_covariance,dirichlet_2_mse,dirichlet_2_mae,dirichlet_2_rmse,dirichlet_2_correlation,dirichlet_2_covariance,spatial_3_mse,spatial_3_mae,spatial_3_rmse,spatial_3_correlation,spatial_3_covariance
100,0.5813180618857657,0.5358958252594624,0.7624421695353463,0.32240503713282886,6.217993022696107e-07,0.1304517184661662,0.2884070910959008,0.3611810051292374,0.3768570640304647,2.447232732081324e-07,0.24407496591998695,0.40536900101561923,0.49403943761605407,0.16447400450636054,1.5909155463666467e-07,2.725015951833616,1.268500081748063,1.6507622335859322,0.1844810737910187,7.488019346827675e-07
250,0.3858217072083832,0.4631023343967697,0.6211454799065862,0.42344297328626407,6.968832954225116e-07,0.09079663099342665,0.24256225687077007,0.3013247931940328,0.6142184655255855,4.697924308465132e-07,0.26331131951061193,0.40485414388381985,0.5131386942246823,0.29484961553759237,3.458681090767377e-07,1.0374005811242948,0.8059705417349267,1.0185286353973042,0.33579749181102253,8.779482853229239e-07
500,0.28968633500925645,0.3989469242111183,0.53822517128917,0.4029908812215617,5.551350695956355e-07,0.09350978004482276,0.2404537131551945,0.3057936886935745,0.59022324617839,4.30342829594227e-07,0.25660361032032414,0.40799645228111653,0.5065605692514215,0.3585264050096487,4.391984804303934e-07,0.5295576717783635,0.5801354053755415,0.7277071332468602,0.39273907759213644,7.494052827637028e-07
750,0.26995362802016204,0.38032421200808425,0.5195706188961824,0.5033451398479196,7.264677999410752e-07,0.07088728236394942,0.20855714967883077,0.26624665700051414,0.7119689196560643,5.770934769860133e-07,0.22658113333630703,0.3695129650702371,0.47600539212944537,0.47246432546928874,5.985359767324867e-07,0.3788206402048074,0.46907127426061673,0.6154840698221258,0.5120947129779742,8.872377657570877e-07
1000,0.19967580771748372,0.32908630386716137,0.4468509905074439,0.550711139149436,7.03506498815706e-07,0.06620466254440661,0.20574696842529988,0.25730266719256256,0.7295186951138366,5.860608341976748e-07,0.21054516957705524,0.35569430141113745,0.45885201271984766,0.491598126882459,6.074239375692402e-07,0.26658379686325673,0.40187832225054876,0.5163175349174738,0.5463769398992819,8.133207557930852e-07
1500,0.1311351320036928,0.2693177401136583,0.362125851056912,0.6547777993222309,7.504593633302617e-07,0.06689408493398373,0.19828000570576815,0.25863890839157155,0.7243312222213112,5.745670103902621e-07,0.16747949825262765,0.33009815685431976,0.40924259095630267,0.5576969674469302,6.463954119629448e-07,0.18701618203240314,0.34680662102570536,0.4324536761693709,0.6108580561686678,8.047718988674114e-07
2000,0.12665940371484793,0.26910485235792825,0.35589240468833827,0.6764568871884625,7.858486994415849e-07,0.057744226152662656,0.1837726842257837,0.24030028329709197,0.7720463464107329,6.484509508146428e-07,0.14778383471788334,0.3010854728119448,0.3844266311246963,0.6250085064446432,7.354292978128044e-07,0.14943485594266406,0.30346133240537476,0.38656804826920715,0.6762454403022016,8.578128529139798e-07
2500,0.11599993706732353,0.2630159675425774,0.34058763493016525,0.7129972880163472,8.363378287932828e-07,0.04520973398977778,0.1649591534832133,0.2126258074406251,0.8240357648389309,7.034221078821295e-07,0.11681189564336408,0.2572821503719532,0.34177755286642814,0.6967510279683269,7.990374586761879e-07,0.10967092970165113,0.24525351228261247,0.33116601531807444,0.7476842299024014,9.011863330323188e-07
3000,0.10762278347557581,0.24586582232819643,0.32805911582453523,0.736535163542148,8.635970793027363e-07,0.045518466601841626,0.1665161098195522,0.21335057206823146,0.8301967275495588,7.404998797036925e-07,0.10379956667868118,0.24980930253764969,0.3221794013879242,0.7214082723532323,8.082614477090473e-07,0.09727210754050788,0.23678806562251206,0.3118847664450893,0.7672338123585749,9.016487350519568e-07
3500,0.08134254187453302,0.21871954812593422,0.28520613926515154,0.7567456119046579,7.920978318574178e-07,0.04663371345870452,0.16883329040772282,0.21594840462180895,0.8152578684309766,6.806126639463045e-07,0.1000978687260099,0.248379025580998,0.31638247221679316,0.7120891555023116,7.678086012577302e-07,0.08731127000170262,0.22714289086125966,0.29548480502676044,0.7606057543579582,8.355721200156156e-07
5000,0.06147744094040366,0.19029060904083905,0.24794644772693086,0.8082906177333326,8.190478726851665e-07,0.0336064250345891,0.14041343175052157,0.18332055267915023,0.8739616483446085,7.755960428479688e-07,0.06094539318798117,0.19196695839868178,0.24687120769336623,0.8229462056697624,8.644331622643607e-07,0.05256931353810521,0.1765027613365724,0.22927998939747274,0.8555439180203396,9.141371925102089e-07
7500,0.04675585019260144,0.167751360255416,0.21623101117231414,0.8387173125781395,7.950763452537657e-07,0.029043211770217132,0.13127161789196765,0.17042069055785783,0.8894331411672717,7.779176697849208e-07,0.0510999554094853,0.17924382811580591,0.22605299248071303,0.8424749074565112,8.539127408572945e-07,0.04196188564753478,0.15937166752834475,0.2048460047146021,0.8713154060109461,8.794329018707123e-07
10000,0.03353164499872041,0.14375605831485433,0.18311647932045988,0.8805242273341388,8.138463639260593e-07,0.026700159747174046,0.1213410727197343,0.163401835201365,0.8959321362589792,7.61648847058574e-07,0.033817756215472325,0.14541972231210548,0.18389604730790796,0.885432182585284,8.447383117167779e-07,0.026465348399049304,0.1270408446269064,0.16268173959928417,0.9091520018723889,8.575446819362828e-07
15000,0.03135861062767579,0.1363708736613489,0.17708362608574454,0.8893722383433345,8.270495394210182e-07,0.021053934125260396,0.11104602925771,0.1450997385430463,0.9200560210259346,8.068377128171142e-07,0.025903259322438726,0.12431235870431968,0.16094489529785877,0.9114370030233275,8.612758522452925e-07,0.021008040394346218,0.11123402470268239,0.14494150680307633,0.9274144498945502,8.686463155203623e-07
20000,0.02513663716557335,0.12509343889044858,0.15854537888432244,0.9048412692260261,7.958832613413385e-07,0.018472333466386,0.10668718766253465,0.13591296283425655,0.9275038149292077,7.715119465515539e-07,0.017811247636206756,0.1066604322701101,0.13345878628328206,0.9345403992784931,8.422728264874905e-07,0.014578622998189626,0.09545960190528875,0.12074196866951287,0.9457051492120385,8.435673137126088e-07
