n_observations,bayesian_0_mse,bayesian_0_mae,bayesian_0_rmse,bayesian_0_correlation,bayesian_0_covariance,bayesian_1_mse,bayesian_1_mae,bayesian_1_rmse,bayesian_1_correlation,bayesian_1_covariance,bayesian_gridsearch_2_mse,bayesian_gridsearch_2_mae,bayesian_gridsearch_2_rmse,bayesian_gridsearch_2_correlation,bayesian_gridsearch_2_covariance,dirichlet_3_mse,dirichlet_3_mae,dirichlet_3_rmse,dirichlet_3_correlation,dirichlet_3_covariance,spatial_4_mse,spatial_4_mae,spatial_4_rmse,spatial_4_correlation,spatial_4_covariance
100,0.3482177966443364,0.4311970542086642,0.5900998192207284,0.43564300168610703,6.841569263324318e-07,0.1116400783717299,0.2586170033561349,0.3341258421189985,0.5077259061642387,3.705398997623104e-07,0.11135956499369778,0.2614509867982246,0.3337058060533226,0.5041709322916507,3.6240211710720474e-07,0.24629805788910564,0.4041047636520565,0.4962842510992119,0.15682094862971477,1.5168894678510144e-07,2.7564384548978107,1.268699404660527,1.660252527448102,0.18339235978008298,7.485099227904157e-07
250,0.40955046093309555,0.45019808038078246,0.6399612964336949,0.4807334146002033,8.481707720368932e-07,0.09908119312158288,0.241781074703094,0.31477165234751187,0.6367419981589982,5.774744475158437e-07,0.09765241454724347,0.24952395697635418,0.31249386321533335,0.6092920098910816,5.049461882245775e-07,0.2649157099786547,0.4035934437629862,0.5146996308320559,0.3469179160453485,4.293998987507585e-07,1.1259361031153712,0.8294511564328494,1.0611013632614799,0.3836375712793206,1.063048669089385e-06
500,0.3027297645743081,0.4063372782211507,0.5502088372375603,0.5483048317619063,8.722352236667273e-07,0.08039142920803131,0.22119258068688277,0.2835338237460062,0.6757962377233362,5.539953279163704e-07,0.07247860283498157,0.20783976045761698,0.26921850388667856,0.7057059689716112,5.727361799791539e-07,0.2547504601827612,0.3940427686905596,0.5047281052039416,0.41118427562897364,5.272917139517756e-07,0.568020644454123,0.5788347821189016,0.7536714433054519,0.45094603058690363,9.204361559696279e-07
750,0.2261883658904846,0.3569702274328395,0.4755926470105321,0.5585115261439043,7.709129929394931e-07,0.06137390330221587,0.18869904034200785,0.2477375694201747,0.7466607426544268,5.890469110210873e-07,0.0622785767583558,0.19152866242071584,0.24955676059437018,0.7403001760104269,5.741844260507915e-07,0.24133646811358106,0.38960286732170424,0.49126008194599025,0.4564118617513211,5.913035699818535e-07,0.3888588395434537,0.4900064695806983,0.6235854709207501,0.5052938914543982,8.828606556202697e-07
1000,0.17686753058154797,0.3055147097510118,0.42055621572097585,0.6062607874113372,7.70893162249416e-07,0.059155186786527494,0.18666277328028105,0.2432183931912377,0.7539215837702495,5.857004483640932e-07,0.054518961280803,0.1726834897987099,0.23349295766854083,0.7742335927731557,6.038332188163708e-07,0.2074615315389919,0.3516765783392139,0.4554794523784711,0.5110092077578535,6.39152070363018e-07,0.2787044452990524,0.3963760147889156,0.527924658733661,0.55949179498987,8.615900911393326e-07
1500,0.14353566941762316,0.29024075655812553,0.3788610159644605,0.6216197996533992,7.154331367656614e-07,0.05963409836135467,0.18688385275472652,0.2442009384940088,0.7563300402973131,6.059671247305629e-07,0.05696691358171788,0.1843590484840391,0.23867742578995166,0.7627055745951478,5.895857948692018e-07,0.16204586125880302,0.3124284176878374,0.40254920352523743,0.571535607865101,6.608641601896801e-07,0.18952154638461174,0.33006750953709674,0.4353407244729256,0.6133412660817107,8.160041066092986e-07
2000,0.12520733578250165,0.2724793665729031,0.3538464861808036,0.6764649880313134,7.807781570584431e-07,0.06620682295499267,0.18911756683484598,0.2573068653475703,0.738230204302636,6.192923143263072e-07,0.055093315955960495,0.1770804683890466,0.23471965396182845,0.7748252137423535,6.190722880245273e-07,0.1479178510806749,0.3008371563969967,0.3846008984397656,0.6231881451580302,7.318111484296232e-07,0.1497601586991679,0.30333579184463894,0.3869885769621216,0.6740219380113451,8.534710124334863e-07
2500,0.11965085381813363,0.25846739756051806,0.3459058453078433,0.7083768231583725,8.384471657868081e-07,0.05126336003629166,0.17198376443955496,0.22641413391458506,0.8073265154404522,7.15106483081295e-07,0.044529052856239544,0.15907937452709842,0.21101908173489795,0.8283240391883928,7.148115875273518e-07,0.12078774888021855,0.2669665968105687,0.34754531917466325,0.6988175261467486,8.189479940701859e-07,0.12166682397223255,0.2638479719276355,0.34880771776471997,0.7394881949519905,9.250204970642857e-07
3000,0.08970379465010038,0.22449571090392553,0.29950591755439554,0.7588440716057148,8.42800664348961e-07,0.0431662137643086,0.1581702072494793,0.20776480395944977,0.8356636970690691,7.308888705581756e-07,0.040535070372621634,0.15250487905506654,0.20133323216156251,0.8435804152069862,7.27164817563658e-07,0.09400319237751811,0.2404661882625926,0.3065994004846032,0.7428770326470193,8.201716282622989e-07,0.09161999223631984,0.23137266123405484,0.3026879453105456,0.7788774222319774,9.081169728689085e-07
3500,0.0761050738174776,0.20878347399098846,0.275871480616387,0.7495289111905076,7.3862106356671e-07,0.04079809423612086,0.153616312332047,0.20198538124359608,0.8338972394452214,6.616658877200597e-07,0.0368083978043625,0.14334565663206975,0.1918551479746178,0.8521256114658009,6.921988514351282e-07,0.08539608464636773,0.22462682880125226,0.29222608481510975,0.7315867435299375,7.446281470757318e-07,0.07148341134271027,0.20341662574470415,0.26736381831263234,0.784033883063478,8.12345678817396e-07
