n_observations,bayesian_0_mse,bayesian_0_mae,bayesian_0_rmse,bayesian_0_correlation,bayesian_0_covariance,bayesian_gridsearch_1_mse,bayesian_gridsearch_1_mae,bayesian_gridsearch_1_rmse,bayesian_gridsearch_1_correlation,bayesian_gridsearch_1_covariance,dirichlet_2_mse,dirichlet_2_mae,dirichlet_2_rmse,dirichlet_2_correlation,dirichlet_2_covariance,spatial_3_mse,spatial_3_mae,spatial_3_rmse,spatial_3_correlation,spatial_3_covariance
100,0.08517171052597573,0.22800023454449592,0.2918419272927996,0.6055768006335984,1.5293773580409409e-06,0.10628392265955615,0.2552627064942205,0.3260121510918821,0.44921149310728475,8.478706076758653e-07,0.2990344070434328,0.42905071652669347,0.5468403853442363,0.2538003381051782,1.2586706592290664e-06,1.8305484125786577,1.0747666150897843,1.352977609784677,0.26884974722870936,3.663169664756151e-06
250,0.09023257366515702,0.2443552275831814,0.30038737267927396,0.6067975690767513,1.785790346225916e-06,0.08111165016129154,0.23303967559850253,0.2848010712081181,0.6207443229825694,1.3269259875270977e-06,0.2772787241189296,0.4095766169757202,0.5265726199860088,0.3643363801343673,1.89399602494846e-06,0.6808258522357966,0.6375191620003287,0.8251217196485598,0.3822860349630915,3.3101660835080656e-06
500,0.06248786899569027,0.20043703594483356,0.24997573681397614,0.7477230252861404,2.4467809114138814e-06,0.05803013885807335,0.19225946521267526,0.24089445584752123,0.7490411517744807,2.0586989620440742e-06,0.20406511168046343,0.3413814230552189,0.4517356657166483,0.5461253553801828,2.819722436198925e-06,0.3372978162465766,0.43394039106570137,0.5807734637933939,0.5683477693003781,3.883580683138608e-06
750,0.05965633147609179,0.19215048652266237,0.24424645642484108,0.7482125069408705,2.2617588991523547e-06,0.059374940477711524,0.19321975288858564,0.2436697364830346,0.7430689852856479,1.8212292338709916e-06,0.16685032355543886,0.31978784813777594,0.40847316136490397,0.5628133102465596,2.6282042948870356e-06,0.21355755692566897,0.356922442072522,0.46212288076405494,0.5901697171981034,3.2720332489420058e-06
1000,0.04624723099322544,0.17236022992681713,0.21505169376972003,0.818657009499466,2.777033349679503e-06,0.042042225862923825,0.16313461255617936,0.20504200999532712,0.8259990000198841,2.3127612879063405e-06,0.10492581774934492,0.260288593710186,0.32392254899797407,0.7015636273176594,3.059634073215223e-06,0.12808516603605766,0.2866429894517438,0.3578898797619984,0.7221762023900113,3.623090467480089e-06
1500,0.044355669527341865,0.1661487726978451,0.21060785723078299,0.8194155681979365,2.6186890755005756e-06,0.04665566348944914,0.17234457859061394,0.21599922103898694,0.8055568105483988,2.141613250804744e-06,0.09211949328480089,0.23549989214481673,0.30351193268931104,0.7064644994320455,2.86430431694596e-06,0.10097703991524618,0.24495243987984816,0.3177688466719892,0.7225358187199429,3.204324781327477e-06
2000,0.04431961621236241,0.160450620208898,0.21052224635976696,0.8255014194587345,2.7847774883037707e-06,0.03643679415995875,0.14326176311740024,0.19088424282784253,0.8507671337243502,2.5379252781183914e-06,0.08027636723182864,0.2216791663928372,0.28333084412366516,0.7595853140820787,3.1854442626200072e-06,0.08489187708054131,0.22962124953124652,0.2913621064595417,0.7748767343726047,3.4639025037619018e-06
2500,0.044217135387212905,0.16162194236476723,0.21027870883000235,0.8290719434451281,2.8603677599414324e-06,0.03705007033673778,0.15176047321616978,0.19248394825734894,0.8482646046188633,2.5959216269926094e-06,0.07351012360831685,0.21362171324469206,0.27112750433756594,0.7775462021778015,3.2320800446589395e-06,0.07632499261372572,0.21874574925662954,0.27626978230296145,0.7897808868449152,3.449280802683866e-06
3000,0.036797409806567025,0.1510964281493679,0.19182650965538373,0.8619605215825464,3.067297882553853e-06,0.031202788604822215,0.1347511515802036,0.17664311083317746,0.8741422255330119,2.771276231231288e-06,0.05931793171153407,0.19351367319530718,0.24355272881151233,0.8200079183129996,3.378478240367098e-06,0.057313984680459625,0.1906412725541986,0.2394033932099953,0.8375459796007377,3.559520021460086e-06
3500,0.037830610442662296,0.15560792373863527,0.19450092658561371,0.8568533849479258,3.023955956005347e-06,0.03426102506001459,0.14475559232109012,0.1850973394190597,0.8681425785501387,3.009274501126927e-06,0.053017697556791955,0.17627457308275313,0.23025572209348447,0.8308070055642192,3.3203983576100868e-06,0.049643325737612924,0.1716430922603219,0.2228078224336231,0.8488986816432013,3.470202743311834e-06
