n_observations,bayesian_0_mse,bayesian_0_mae,bayesian_0_rmse,bayesian_0_correlation,bayesian_0_covariance,bayesian_adaptive_search_1_mse,bayesian_adaptive_search_1_mae,bayesian_adaptive_search_1_rmse,bayesian_adaptive_search_1_correlation,bayesian_adaptive_search_1_covariance,dirichlet_2_mse,dirichlet_2_mae,dirichlet_2_rmse,dirichlet_2_correlation,dirichlet_2_covariance,spatial_3_mse,spatial_3_mae,spatial_3_rmse,spatial_3_correlation,spatial_3_covariance
100,0.1127317227536059,0.26387658708169887,0.3357554508174155,0.5905410860050556,2.1668222712083787e-06,0.09072319684127426,0.24760779318088755,0.30120291638905866,0.5799262045808432,1.5017574904653444e-06,0.3308796055302398,0.43625939509988193,0.575221353506839,0.2576393116928025,1.3729091469693284e-06,2.1392824018329746,1.1237793846284263,1.4626285932638452,0.27266793613559354,4.018549128806389e-06
250,0.09862081141139933,0.25440465882881363,0.314039506131632,0.5983549830480823,1.9465737331903326e-06,0.09006521050057076,0.23752363348521907,0.3001086644876665,0.5743580023995181,1.3897078947773834e-06,0.2792418166316525,0.43585315222086524,0.5284333606346712,0.3554577225315243,1.8414978021860586e-06,0.6766624095021082,0.6686777949777454,0.8225949243109322,0.3771271396951433,3.2472605681806534e-06
500,0.08465484652475172,0.22534603276552514,0.290955059287086,0.6710821890914296,2.3041568716808504e-06,0.06881912488425106,0.20454822065195546,0.26233399490773407,0.6931264803320499,1.8048859132693447e-06,0.21945897226853633,0.3724978536107883,0.46846448346543446,0.49945598142365444,2.560363979131842e-06,0.36279872981166306,0.47754135537537246,0.6023277594563138,0.5153125559363673,3.5132647744160704e-06
750,0.07065083193070448,0.2106378473795138,0.26580224214762466,0.7216034747619877,2.4377418024352307e-06,0.07318788113174185,0.21514121061979283,0.27053258792933216,0.6878407245794107,2.0719337057957152e-06,0.15893218383445407,0.31546505418778736,0.39866299531616184,0.5721036889177095,2.623471011684599e-06,0.21502594405233957,0.36320433349110887,0.4637089001219834,0.5909802637683779,3.290971857708917e-06
1000,0.05044595697211528,0.1739778880214141,0.22460177419627672,0.7979664084602317,2.632557865122351e-06,0.049278636235281024,0.17571247890501884,0.2219879191201202,0.7927290949709913,2.33832709165909e-06,0.10863629910058205,0.2549949355839795,0.3296002110141649,0.693512834606812,3.042794050565348e-06,0.13247493790475443,0.2772470200486653,0.3639710674006307,0.7138266681307277,3.5979423721062944e-06
1500,0.05783316641298669,0.18176639311421228,0.24048527275695428,0.7808562479100216,2.7518823146219067e-06,0.05165522510208375,0.17503412464824405,0.22727785880301615,0.7860586492925293,2.446379102974956e-06,0.108748331698255,0.2679876856395405,0.329770119474544,0.6787986385175295,2.9004404474066894e-06,0.11886049242567881,0.2738865468612545,0.34476150078812284,0.6991822582470122,3.260492046795184e-06
2000,0.0443235541781125,0.15863016499495083,0.21053159900146223,0.8245274130198644,2.7608928461152827e-06,0.04175379398459553,0.15495487517008866,0.2043374512530572,0.8269118473352448,2.3585727107633457e-06,0.09115642522561539,0.22763090909605457,0.3019212235428563,0.7275454567490377,3.068138230640711e-06,0.09725782081289269,0.2361328659664353,0.31186186174794234,0.7413596713336313,3.3354187513596127e-06
2500,0.044259764395749884,0.16755283011542602,0.21038004752292905,0.8278082097201815,2.834775823982191e-06,0.03735713519024538,0.15689296809274006,0.19327993995819995,0.8476968571229537,2.6576977378138726e-06,0.07332633896900902,0.2137458504622207,0.27078836564558867,0.7777272961647774,3.2295368859137944e-06,0.07607160188601167,0.21874956503604834,0.27581080813849856,0.7898888364365804,3.4446265123763897e-06
3000,0.036156165136314415,0.14858405957805038,0.19014774554623154,0.8627350814326077,3.0346388147306393e-06,0.03532565437705744,0.14242283740234965,0.18795120211655322,0.8557940748297346,2.6199148081982697e-06,0.06253558379019394,0.201199731386657,0.25007115745362146,0.8088962180969999,3.3263676672517316e-06,0.060030061424068214,0.1975409453239056,0.24501032921913357,0.8271977905855719,3.49858900537557e-06
3500,0.04006532947479081,0.15370917957631658,0.20016325705481217,0.8491550669387334,3.0114388701533247e-06,0.0333392203178159,0.14528270551231398,0.18259030729426987,0.8679379002525855,2.891878138452114e-06,0.053102722471794,0.17700533555901976,0.23044027962097685,0.8303193763077672,3.3162252778229478e-06,0.04930648688900827,0.17078951747129553,0.22205064037063318,0.8493544840064603,3.464840112674484e-06
5000,0.0268046631581383,0.12772335477863495,0.16372129720393222,0.8982369102793372,3.1594840801966313e-06,0.0241788630860686,0.12210509544997954,0.15549554040572547,0.9037962782101993,2.9152511656038664e-06,0.03019941551370403,0.13932065500967872,0.17377979029134552,0.8968205159568666,3.4095352996341596e-06,0.02933082762531963,0.13710273805477907,0.17126245246789978,0.9042255284486427,3.51756590743162e-06
7500,0.01920797428184486,0.10683233310918136,0.13859283632946134,0.9282517784977296,3.3144176155247607e-06,0.021708733625917357,0.11628451434954463,0.14733883950241145,0.9208220989134478,3.3497781111202435e-06,0.01761823573183057,0.10553743946137528,0.13273370232096507,0.9394127088630123,3.528563245030872e-06,0.015929064335779255,0.1010373684082278,0.1262103970985721,0.9464859289835094,3.585694258636919e-06
10000,0.019642881227288266,0.11038899092618552,0.14015306356725943,0.9310193989668406,3.4649346856513217e-06,0.01950115942089054,0.11145448810000061,0.13964655176870835,0.9295236747293169,3.400518557936215e-06,0.020802961588359738,0.11422760299110672,0.14423231811338172,0.930799721991487,3.5614277253487383e-06,0.01893436893913398,0.10839342755898718,0.13760221269708559,0.9377927858215418,3.5994678809463247e-06
15000,0.011973375886175397,0.08769038412037067,0.10942292212409334,0.9539781399979926,3.3037609746380874e-06,0.011973375886175397,0.08769038412037067,0.10942292212409334,0.9539781399979926,3.3037609746380874e-06,0.009416536101107634,0.07811461511868976,0.09703883810674793,0.965235479549017,3.4706942816093407e-06,0.008214113377912214,0.07242456789781845,0.09063174597188456,0.9696156597539184,3.480494442503343e-06
20000,0.012605769157419039,0.09003907841640987,0.11227541653193293,0.951634515924663,3.3051979625885284e-06,0.011665556144637707,0.08698984000636212,0.1080072041330471,0.9550782741978111,3.2966283751560993e-06,0.010005315227374977,0.08074964496676137,0.10002657260635785,0.9622758202799041,3.4070725462798484e-06,0.009228839802731573,0.07659334994702567,0.09606685069643729,0.9651528314906423,3.4127557672605824e-06
