n_observations,bayesian_0_mse,bayesian_0_mae,bayesian_0_rmse,bayesian_0_correlation,bayesian_0_covariance,bayesian_adaptive_search_binary_1_mse,bayesian_adaptive_search_binary_1_mae,bayesian_adaptive_search_binary_1_rmse,bayesian_adaptive_search_binary_1_correlation,bayesian_adaptive_search_binary_1_covariance,dirichlet_2_mse,dirichlet_2_mae,dirichlet_2_rmse,dirichlet_2_correlation,dirichlet_2_covariance,spatial_3_mse,spatial_3_mae,spatial_3_rmse,spatial_3_correlation,spatial_3_covariance
100,0.11720943061603306,0.2655140387408451,0.34235862865719197,0.37995146275834674,7.513495447841427e-07,0.14000907886434033,0.3005068487742062,0.3741778706235048,-0.025473968452144353,-2.0060996572223463e-08,0.30462497844738906,0.4448971378824037,0.5519284178653868,0.18649722824607995,8.842926439738399e-07,1.6507396507547594,1.0714208963353768,1.2848111342741233,0.2073734448088347,2.6352520052596667e-06
250,0.08194446814025938,0.22236302564096813,0.28625944201066866,0.6534490336363445,2.009746063427696e-06,0.08000434892224582,0.23100399045808281,0.2828504002511678,0.6459518897974481,1.1194729459981011e-06,0.2649543186603587,0.40982367327658814,0.5147371354976816,0.3339408026056872,1.6380462232378374e-06,0.622778245810631,0.6095231634339415,0.7891630033210065,0.35171560742176666,2.8655922587073752e-06
500,0.06711557454583532,0.19752868686538455,0.25906673762919724,0.7160141202566057,2.1757400937254747e-06,0.07673445679426806,0.21776567878069672,0.27700984963403025,0.6602201354820225,1.2273026626425708e-06,0.2170863467484113,0.37141968859380103,0.46592525875768026,0.49875371377855104,2.5382589554844205e-06,0.3456509280850742,0.4587726647623346,0.5879208518883083,0.5226190217235538,3.4959146697966468e-06
750,0.07287899591781608,0.21344979968170272,0.26996110074937846,0.7164277168166089,2.4555032534449484e-06,0.07034852615811772,0.21072120766267557,0.26523296582083783,0.6838112215091116,1.575976578931536e-06,0.15542380758016652,0.31400463436641896,0.39423826245072474,0.5844188320016566,2.687764775184364e-06,0.21227237792560633,0.3597319507171665,0.4607302659101161,0.602165656106875,3.3689050773074397e-06
1000,0.04605874516263184,0.1681102664012821,0.2146130125659482,0.8162468256308543,2.7043735239206216e-06,0.057334938210251485,0.18425674614892426,0.23944715118424667,0.7623801512108758,1.7095555918944624e-06,0.10889658246481611,0.25260818869557633,0.32999482187576235,0.6923529624706128,3.0356838187798446e-06,0.13320326945961614,0.2770236165788953,0.36497023092249065,0.7122572616523487,3.5918314432937717e-06
1500,0.04876612216500014,0.16412777150934638,0.2208305281545107,0.8048579736587644,2.6571454570861733e-06,0.05266142638212253,0.17657924457436647,0.22948077562646185,0.7932333418636643,1.745705890734648e-06,0.08286322214273922,0.22614588156781393,0.28785972650362057,0.7263547528243612,2.8687444011023273e-06,0.08850720354101367,0.23443568148490299,0.2975016025856225,0.7461778537069355,3.2161825854917315e-06
2000,0.04191889524131395,0.15148916776920696,0.20474104434947565,0.8451733310898624,3.0500915080414406e-06,0.04676602764611815,0.16709363159601648,0.2162545436427132,0.8207828732626177,1.887937500037773e-06,0.08997116963406102,0.22640635414364013,0.2999519455413834,0.7444242486820357,3.2271259198163544e-06,0.09816259090839986,0.23631764762962487,0.31330909803004425,0.7556186350832689,3.5059801589618608e-06
2500,0.04198774139003958,0.15988000106281708,0.20490910519066638,0.835448116358308,2.8344986542393373e-06,0.03940353111495832,0.15895393270421795,0.1985032269635895,0.8550693592298236,2.0555278930366764e-06,0.06848761268963595,0.20547635272434778,0.26170138075607463,0.7921639417018322,3.27987484324976e-06,0.06937711386865314,0.20456010480612222,0.26339535658141955,0.8076600281134715,3.499571445078362e-06
3000,0.043134532282024796,0.1578574802698053,0.20768854634289488,0.8419354113740858,3.0590129182326845e-06,0.04110732063517546,0.14776374606748682,0.20274940353839627,0.8389131724485365,2.1128514246294587e-06,0.06299989654197209,0.20403740441521484,0.25099780186681336,0.8084548225160376,3.3343882655298914e-06,0.06044937817310926,0.19995935293461528,0.2458645524940699,0.8269027199495934,3.5069315551343496e-06
3500,0.0385548775131842,0.1563604132464235,0.19635395975936976,0.8563305440741745,3.066022534773688e-06,0.038982297055138615,0.15443322743438195,0.19743935032089885,0.8525371129313384,3.0095620189000373e-06,0.052643941843671244,0.1751917360497266,0.2294426765962933,0.8307666681129687,3.3060244161210485e-06,0.04926184963498054,0.170661898855868,0.22195010618375594,0.8488422746247886,3.4553438523579354e-06
5000,0.025205293491248837,0.12341348830671436,0.15876175071864393,0.9032289884198377,3.1385253388284434e-06,0.02187416852889169,0.115237106208844,0.1478991836653999,0.9143366260036154,2.8076307404320717e-06,0.03004784796233688,0.13862684360550992,0.1733431508953754,0.8988070747017879,3.444017611019592e-06,0.02945539822279839,0.13716346833544407,0.17162575046536108,0.9055652612151025,3.553390525467918e-06
7500,0.018550982407973572,0.10861008591394122,0.13620199120414345,0.9297091083700374,3.276616341956083e-06,0.017245112062562108,0.10132696949561952,0.13132064598745358,0.9338817335821252,3.2487678803909464e-06,0.017177384704899133,0.10602896809637606,0.13106252212169248,0.939311901047474,3.4788711947157417e-06,0.016022707543096468,0.10167071672978446,0.12658083402749593,0.944747890372946,3.5386166904052926e-06
10000,0.017758298474147626,0.10726202440840103,0.13326026592404663,0.9357756668938517,3.4197013549337527e-06,0.01859119241618004,0.11218173724241642,0.13634952297745687,0.9334149368931686,3.432817123283768e-06,0.020605912868109443,0.11483423718529041,0.1435475979182844,0.9332011644641074,3.6091825318457738e-06,0.01836288376579464,0.10773510059012466,0.13550971834445913,0.941092379178808,3.643092302882638e-06
15000,0.012210571336189378,0.08888987166868595,0.11050145400034055,0.9528828885506315,3.2776848861028895e-06,0.009957956161012083,0.07715597531716004,0.09978955937878513,0.9615172857584267,3.251888307878168e-06,0.009495325498198391,0.07649289268021822,0.0974439608092692,0.9649977113480553,3.4732331539928784e-06,0.008238774035795166,0.07018499983959031,0.09076769268740484,0.9695483390046691,3.4819686946041518e-06
20000,0.010842098709564235,0.08277794507031282,0.10412539896473019,0.9580651410704759,3.2637575145732133e-06,0.012780721175702192,0.0875260768917351,0.113051851712841,0.9504088694643765,3.225086174648166e-06,0.009908993864385856,0.07995250770299168,0.09954392931960168,0.9627652900839655,3.418663128792283e-06,0.009111034373012727,0.07594359465737763,0.09545173844940032,0.9657071581813291,3.424220482074795e-06
