test_id,timestamp,n_points,n_observations,lengthscale,variance,jitter,mcmc_samples,mcmc_burn,mcmc_scale,mcmc_seed,bayesian_mse,bayesian_mae,bayesian_rmse,bayesian_correlation,bayesian_covariance,dirichlet_mse,dirichlet_mae,dirichlet_rmse,dirichlet_correlation,dirichlet_covariance,gp_mse,gp_mae,gp_rmse,gp_correlation,gp_covariance,spatial_mse,spatial_mae,spatial_rmse,spatial_correlation,spatial_covariance,mse_diff,mae_diff,correlation_diff,better_model_mse,better_model_mae,bayesian_better_count,dirichlet_better_count,gp_better_count,spatial_better_count,equal_count,wilcoxon_pvalue,test_duration_seconds
test_0001_20251113_225625,2025-11-13 22:56:25,194,1000,1000,1.0,1e-06,6000,2500,6.0,42,2.5786532268449123e-06,0.0012385820392224,0.0016058185535249,0.6764387743547099,2.6598328932151715e-06,4.310909182027772e-06,0.0015570165692338,0.0020762729064426,0.6392143421467088,3.2391362405720443e-06,6.146777219425507e-06,0.0018739570108772,0.0024792694931018,0.6392143421422412,3.867528671199164e-06,5.257412329263601e-06,0.0017407665672528,0.0022929047798073,0.6639744359938841,3.822291507233767e-06,-1.7322559551828595e-06,-0.0003184345300113,0.037224432208001,Bayesian,Bayesian,103,56,9,26,0,0.0058188295882251,20.293384
test_0002_20251113_225655,2025-11-13 22:56:55,194,1000,1000,1.0,1e-06,6000,2500,6.0,42,2.0816449762806383e-06,0.0011359659438425,0.0014427906903915,0.6807154183281967,2.206515284239457e-06,4.036650920947163e-06,0.0015940895801051,0.0020091418369411,0.5897327101924527,2.6937066180788577e-06,5.504404982791068e-06,0.0018295181772556,0.0023461468374317,0.5897327101498203,3.216285701545582e-06,4.8062566200304845e-06,0.0016915585020031,0.0021923176366645,0.6145208114648201,3.2041025331667094e-06,-1.9550059446665246e-06,-0.0004581236362625,0.090982708135744,Bayesian,Bayesian,121,26,19,28,0,1.0818909692274602e-05,10.083803
test_0003_20251113_225707,2025-11-13 22:57:07,194,1000,1000,1.0,1e-06,6000,2500,6.0,42,2.103179030015725e-06,0.0011403542839098,0.001450234129379,0.6609879752147001,1.986944482089466e-06,4.85468815718522e-06,0.0016668722621629,0.0022033356887195,0.6020781953336654,3.1112144388872493e-06,6.863050990828775e-06,0.0019705598209609,0.002619742542852,0.6020781953334565,3.714790040034864e-06,6.235457158464043e-06,0.0018242380399469,0.0024970897377675,0.6175267278111923,3.68715016563944e-06,-2.751509127169495e-06,-0.0005265179782531,0.0589097798810347,Bayesian,Bayesian,110,40,11,33,0,1.0882760449837364e-05,10.439417
test_0004_20251113_225722,2025-11-13 22:57:22,194,1000,1000,1.0,1e-06,6000,2500,6.0,42,2.431624815160947e-06,0.0011971036958758,0.0015593667994288,0.6751626110409464,2.526069680821821e-06,3.932000210082637e-06,0.0015512080422644,0.0019829271822441,0.6344792038171699,3.037055968773541e-06,5.51345538486849e-06,0.0018440035609993,0.0023480748252277,0.6344792038148532,3.626244826873325e-06,5.009617009363352e-06,0.0017486676218231,0.002238217373126,0.6517085965563855,3.618250854435962e-06,-1.50037539492169e-06,-0.0003541043463885,0.0406834072237765,Bayesian,Bayesian,106,55,16,17,0,0.0003991278013878,13.12618
test_0005_20251113_225753,2025-11-13 22:57:53,194,1000,1000,1.0,1e-06,6000,2500,6.0,42,1.86069193736934e-06,0.0010968156472222,0.0013640718226579,0.7070542267888469,2.1984298953640405e-06,3.6271103432596e-06,0.0015033355345126,0.0019044973991212,0.6224938253131012,2.790505563088512e-06,4.965162276975984e-06,0.0017445250109903,0.0022282644091256,0.6224938253141694,3.33186364234268e-06,4.393173491288456e-06,0.0016327565003168,0.0020959898595385,0.6430281937516726,3.306870050440843e-06,-1.7664184058902597e-06,-0.0004065198872903,0.0845604014757457,Bayesian,Bayesian,112,42,17,23,0,3.042625113982349e-05,28.451313
test_0006_20251113_225812,2025-11-13 22:58:12,194,1000,1000,1.0,1e-06,6000,2500,6.0,42,1.8836068308673017e-06,0.0010619538128043,0.001372445565721,0.7186971463266317,2.407823708921519e-06,3.727119542692104e-06,0.0015611289259127,0.0019305749254282,0.6703631168706328,3.2745002881367818e-06,5.330804416716517e-06,0.0018561324025502,0.0023088534853291,0.6703631168700519,3.909753343979841e-06,4.48821498387426e-06,0.0016905113676889,0.0021185407675742,0.6963879176339542,3.855197616326816e-06,-1.843512711824802e-06,-0.0004991751131083,0.0483340294559989,Bayesian,Bayesian,117,42,12,23,0,2.453010785550052e-07,17.196043
test_0007_20251113_225829,2025-11-13 22:58:29,194,1000,1000,1.0,1e-06,6000,2500,6.0,42,1.4140193148380397e-06,0.0009732704826342,0.0011891254411701,0.7728402635854276,2.17666545666817e-06,3.492369941664661e-06,0.0014491913663758,0.0018687883619245,0.6468362245097732,2.941816285120355e-06,4.8428082010808375e-06,0.0016851977634944,0.0022006381349692,0.6468362245010801,3.51252864452513e-06,4.022671527193156e-06,0.0015369825596219,0.0020056598732569,0.6779000992624389,3.4802313122213825e-06,-2.0783506268266217e-06,-0.0004759208837416,0.1260040390756543,Bayesian,Bayesian,109,39,19,27,0,4.702605658414075e-06,15.276767
test_0008_20251113_225838,2025-11-13 22:58:38,194,1000,1000,1.0,1e-06,6000,2500,6.0,42,1.682350554686352e-06,0.0010320751578553,0.001297054568893,0.7333910716518818,2.240137583622538e-06,3.641177683698071e-06,0.0014999655315561,0.0019081870148646,0.6229887012415105,2.8016075039465786e-06,4.990333890677892e-06,0.0017459806616226,0.0022339055241164,0.6229887012579725,3.3451193598107643e-06,4.363822243968985e-06,0.0016355054755936,0.0020889763627118,0.6453670044953721,3.316737566154736e-06,-1.958827129011719e-06,-0.0004678903737007,0.1104023704103712,Bayesian,Bayesian,117,34,20,23,0,3.865205930916696e-06,7.122639
test_0009_20251113_225848,2025-11-13 22:58:48,194,1000,1000,1.0,1e-06,6000,2500,6.0,42,1.5950517295968384e-06,0.0009752130869858,0.0012629535738089,0.7643062776357253,2.5915311154275094e-06,3.913240222388226e-06,0.0015412700331039,0.0019781911491026,0.6332121286686611,3.017409275682018e-06,5.477655624125066e-06,0.001826002330435,0.0023404391947079,0.6332121286833303,3.6027866753431048e-06,4.774032497001193e-06,0.001710225913857,0.0021849559485264,0.6546231472745828,3.5605054219265585e-06,-2.318188492791388e-06,-0.000566056946118,0.1310941489670642,Bayesian,Bayesian,112,44,13,25,0,1.0938207425345845e-08,7.511819
test_0010_20251113_225903,2025-11-13 22:59:03,194,1000,1000,1.0,1e-06,6000,2500,6.0,42,1.6076255404966694e-06,0.0010341898975132,0.001267921740683,0.7638598315591822,2.6081985616792167e-06,3.47428033214967e-06,0.0014120967624674,0.001863942148284,0.710674003719699,3.5433169459922e-06,5.094241032340616e-06,0.0017223773098184,0.0022570425411012,0.7106740037332545,4.230720433544655e-06,4.579921044331251e-06,0.001621938520217,0.0021400750090431,0.7256988814461385,4.189437037421409e-06,-1.8666547916530009e-06,-0.0003779068649542,0.0531858278394832,Bayesian,Bayesian,112,44,15,23,0,0.0003399270370296,12.775086
test_0011_20251113_225920,2025-11-13 22:59:20,194,1000,1000,1.0,1e-06,6000,2500,6.0,42,1.9676882400887224e-06,0.001100024715179,0.0014027431126506,0.7289988406121013,2.654901415446284e-06,4.1242110416859366e-06,0.001594438047048,0.0020308153637605,0.6542191587483233,3.300259285745665e-06,5.90878426297517e-06,0.0019221772171737,0.0024307990996738,0.654219158749489,3.940509587191564e-06,5.3888531104905385e-06,0.0018178744199539,0.0023213903399666,0.6688416425008931,3.91460248206951e-06,-2.156522801597214e-06,-0.000494413331869,0.074779681863778,Bayesian,Bayesian,113,42,16,23,0,2.0596137550426784e-06,14.822937
test_0012_20251113_230112,2025-11-13 23:01:12,194,1000,1000,1.0,1e-06,6000,2500,6.0,42,2.80451823847878e-06,0.0012667554568158,0.0016746695908383,0.6369543992912847,2.447573717035756e-06,3.7075301568780392e-06,0.0015493197684027,0.0019254947823554,0.6568724005724956,3.1389692910324147e-06,5.240413015152744e-06,0.0018513944256036,0.0022891948399279,0.656872400577341,3.747929333537344e-06,4.749521207121056e-06,0.0017423930214997,0.0021793396263825,0.6718383555951395,3.715870623937937e-06,-9.030119183992596e-07,-0.0002825643115869,-0.0199180012812109,Bayesian,Bayesian,108,57,12,17,0,0.0034574469830855,11.673911
test_0013_20251113_230129,2025-11-13 23:01:29,194,1000,1000,1.0,1e-06,6000,2500,6.0,42,2.2812228019417696e-06,0.0012227862016301,0.0015103717429632,0.6344223686926753,1.9342477700971224e-06,4.061554067195496e-06,0.0015726529064159,0.0020153297663646,0.5751197385530664,2.5830614322237507e-06,5.488913208882527e-06,0.0018302863055667,0.0023428429757204,0.5751197385317285,3.084175349865036e-06,4.809176115409833e-06,0.0016893857271802,0.0021929833823834,0.5966028601354046,3.047493091825873e-06,-1.780331265253726e-06,-0.0003498667047858,0.0593026301396089,Bayesian,Bayesian,106,45,19,24,0,0.0015565638535326,2.799868
test_0014_20251113_230134,2025-11-13 23:01:34,194,1000,1000,1.0,1e-06,6000,2500,6.0,42,1.6566207191797408e-06,0.0009683268617107,0.0012870977892839,0.7416160015037176,2.3308282273594653e-06,4.4495059730753e-06,0.0016263890406109,0.0021093852121116,0.5930594978987879,2.885994728558731e-06,6.181608521555909e-06,0.0018769465475057,0.0024862840790134,0.593059497895659,3.44587770585624e-06,5.691969148625586e-06,0.0017957151134775,0.0023857848076944,0.6055202911912386,3.415115997278661e-06,-2.792885253895559e-06,-0.0006580621789002,0.1485565036049297,Bayesian,Bayesian,124,29,21,20,0,5.572842093036215e-10,3.342923
test_0015_20251113_230142,2025-11-13 23:01:42,194,1000,1000,1.0,1e-06,6000,2500,6.0,42,2.445612804964126e-06,0.0012185837473603,0.0015638455182543,0.6537971278064393,2.3210170498829986e-06,4.025046830563304e-06,0.0016196110607362,0.0020062519359649,0.6348822704744748,3.081151879934509e-06,5.666429095796365e-06,0.0019022129919961,0.0023804262424608,0.6348822704791999,3.678895344600658e-06,5.090904284748526e-06,0.0018064591656111,0.0022563032342193,0.6518500598707191,3.648211976456717e-06,-1.579434025599178e-06,-0.0004010273133759,0.0189148573319645,Bayesian,Bayesian,103,46,14,31,0,7.35052338554911e-05,6.454952
