n_observations,bayesian_0_mse,bayesian_0_mae,bayesian_0_rmse,bayesian_0_correlation,bayesian_0_covariance,bayesian_adaptive_search_binary_1_mse,bayesian_adaptive_search_binary_1_mae,bayesian_adaptive_search_binary_1_rmse,bayesian_adaptive_search_binary_1_correlation,bayesian_adaptive_search_binary_1_covariance,dirichlet_2_mse,dirichlet_2_mae,dirichlet_2_rmse,dirichlet_2_correlation,dirichlet_2_covariance,spatial_3_mse,spatial_3_mae,spatial_3_rmse,spatial_3_correlation,spatial_3_covariance
100,0.20931147654938392,0.33907850426032127,0.45750571204017104,0.4082374851240931,1.835568065006892e-06,0.11253396275201837,0.26239491699390843,0.33546082148593503,0.3849792548261916,5.707196326626314e-07,0.3060081048582973,0.43396620462603813,0.5531799931833195,0.24501438690421565,1.2254883046969725e-06,1.8470206169652168,1.0895398495866733,1.3590513665661121,0.26038644687565193,3.555400775468726e-06
250,0.09524922190433209,0.23870357242915827,0.3086247266573631,0.5838342224735638,1.7168421411239121e-06,0.09710902240240336,0.2537234932119219,0.31162320581497677,0.600767673821872,6.121655160319097e-07,0.2854641036380869,0.42431764292750834,0.5342884086690323,0.3471778905998327,1.8109716790462596e-06,0.7235938041823444,0.6777802974249111,0.8506431708903237,0.3600921502688667,3.1822702449923182e-06
500,0.057670059569671875,0.18928794229693638,0.24014591308134284,0.7643998804847943,2.4533410723523875e-06,0.08212259678691823,0.23028787873305062,0.28657040459007316,0.6777420270104698,9.351012395690093e-07,0.20317124936539943,0.3469026385924591,0.4507452155768261,0.5523370671032553,2.8639324834937702e-06,0.3306258352845404,0.4387500652651565,0.5750007263339242,0.5770692754467944,3.930650847082744e-06
750,0.06621497586349318,0.20478658341173833,0.2573227076328344,0.7204234528806805,2.1960308696861673e-06,0.07692512663612293,0.2196170568557981,0.27735379326074294,0.6759319207073092,1.1332862574047037e-06,0.17260548440876713,0.3295749752008778,0.4154581620437455,0.5507306126666144,2.586235850492097e-06,0.22088544771579993,0.3751134933036949,0.4699845185916233,0.5780222042097766,3.2223201728077386e-06
1000,0.0505431574935658,0.17740378433304446,0.22481805419842463,0.8094375485958191,2.8667401307538213e-06,0.06464335105986514,0.1976052505787109,0.2542505674720612,0.7378710255011021,1.4354457573590858e-06,0.12541582174788468,0.27629451731464033,0.3541409631035143,0.6722315013332604,3.0949357503257025e-06,0.15620309759860124,0.307042025977329,0.3952253757017649,0.6911053439512481,3.6635106281880847e-06
1500,0.05535707642314959,0.18073507236402264,0.23528084584842343,0.7853737469186843,2.701441903477803e-06,0.056533545740607725,0.18538611331963925,0.23776784000492523,0.7844603088712572,1.5887937259922474e-06,0.10996423522362131,0.2628751191735293,0.33160855722315324,0.6733102296570842,2.8679530989754497e-06,0.11878063013615522,0.27144420977782435,0.3446456588093853,0.6952039143779317,3.2200799057767755e-06
2000,0.04602415791117042,0.16592739366410195,0.21453241692380762,0.8181557737679126,2.74796982243648e-06,0.061600806545938136,0.19437709870387473,0.2481950977475948,0.743272290390348,1.581450228998367e-06,0.08620661192085473,0.22906926067298225,0.29360962504804694,0.7416705986981234,3.1170157439654172e-06,0.08933622599645484,0.23404946173222677,0.2988916626412568,0.7606452285658293,3.3938790594219107e-06
2500,0.03575312465962808,0.14537316412651363,0.18908496677321568,0.8595894764086428,2.904968684710443e-06,0.040356751560132624,0.15790580630331869,0.20088989909931415,0.8465969956097132,2.076241668499876e-06,0.07277374949310492,0.20910866276751605,0.2697661014529159,0.7818327310103209,3.2654728247038844e-06,0.07397177404328716,0.21293961131363984,0.27197752488631693,0.7975161255544995,3.4873100273529316e-06
3000,0.03360961922077861,0.13809900123560603,0.18332926449636625,0.8750801871031846,3.1398760387648203e-06,0.048706359302864044,0.1701855902327969,0.22069517281278275,0.8152183755220497,1.8133900004031026e-06,0.05879862247129017,0.19675088589196038,0.2424842726266802,0.823966293648672,3.4169025018857245e-06,0.05724638004475673,0.191445395304505,0.239262157569384,0.8406043526381971,3.599974628453624e-06
3500,0.035498389099541595,0.14762843920391164,0.18841016187971815,0.8679776861220876,3.112878108622613e-06,0.03415178368671988,0.1485243156366019,0.18480201212843944,0.8655805317552543,2.364893983988576e-06,0.04564132662488921,0.16730991631326922,0.2136383079526919,0.8530824353694999,3.3801721816142937e-06,0.043648020674553076,0.16308626420188105,0.20892108719455074,0.8675364302021762,3.5348418030258037e-06
5000,0.03006152701244951,0.13346145957516956,0.17338260296941418,0.8876471619916265,3.169119060398089e-06,0.02718537230470193,0.1287583587557588,0.16487987234560175,0.89552262831089,2.5425447787904226e-06,0.03260996356514845,0.14104304110105909,0.18058229028658498,0.8912562415557876,3.4386122757213355e-06,0.03171355124847881,0.13841632610775478,0.17808298977858275,0.8992362601494309,3.5505064181848445e-06
7500,0.019987842523869575,0.11363770872793613,0.14137836653416808,0.9244490931129026,3.2658714399130805e-06,0.01980189399971266,0.1063958398960774,0.14071920266869287,0.9231148008375817,3.156568043037511e-06,0.017415895630760077,0.10449513513603988,0.13196929806117813,0.9383382091691064,3.4717474414956534e-06,0.01613420016950175,0.10031873168166854,0.12702047145835096,0.944164194857065,3.5308554096549812e-06
10000,0.01807200224619931,0.10460799353273062,0.13443214736884668,0.9364037674139558,3.4775742156722097e-06,0.01850055760402514,0.10359090215719545,0.1360167548650722,0.9335851500503743,3.4284612962543653e-06,0.019431080271388828,0.11001462960410059,0.13939540979310913,0.9362838243970745,3.598794382107548e-06,0.017533669893424565,0.10298706760417188,0.13241476463531007,0.9432524455932152,3.6347363411345572e-06
15000,0.011234506600057103,0.08290410490362078,0.10599295542656173,0.9573037272664104,3.3634559383797402e-06,0.011527015516198025,0.08690381171503277,0.10736393955233771,0.9553107504673952,3.2147758087532868e-06,0.009836915392614953,0.07820060202107398,0.09918122500057636,0.9635019184258874,3.453701481312592e-06,0.008557828772798148,0.07251134168897565,0.09250853351339079,0.9681952509439068,3.4653792964567737e-06
20000,0.013683826895547094,0.09074210511623759,0.11697789062702017,0.9470385704970744,3.2425386109366062e-06,0.013436216828338815,0.09082744541604054,0.11591469634321101,0.9481897586803694,3.2688137134741983e-06,0.010487553034504275,0.08212748948742102,0.10240875467705031,0.9605420922997018,3.4073159374493744e-06,0.009599650177733607,0.07798632694180496,0.09797780451578617,0.9638067276060199,3.4125666261323828e-06
