n_observations,bayesian_0_mse,bayesian_0_mae,bayesian_0_rmse,bayesian_0_correlation,bayesian_0_covariance,logistic_normal_mcmc_1_mse,logistic_normal_mcmc_1_mae,logistic_normal_mcmc_1_rmse,logistic_normal_mcmc_1_correlation,logistic_normal_mcmc_1_covariance
100,0.14092931966359445,0.31229443144919694,0.3754055402675811,0.3463864801518664,9.523119707169712e-07,0.12577658950779594,0.27865647637068197,0.3546499534862453,0.505821452651091,1.7167664156354749e-06
250,0.08694302069233294,0.22794093045170238,0.29486101928253067,0.6727815713101643,2.3869843922460003e-06,0.08140887535581795,0.21712459960746533,0.2853224059828074,0.6617603136456636,2.0899614824233942e-06
500,0.07069418331751544,0.2111067025232105,0.26588377783820405,0.6814977076435346,1.6806980475304237e-06,0.061480405918034386,0.19501207356498768,0.24795242672342288,0.7460439077715768,1.5654743660111233e-06
750,0.07751138202791698,0.21830886039940278,0.27840866011659365,0.6933812547684384,2.3325960502566563e-06,0.06468663319913569,0.19752629674458075,0.2543356703239553,0.7174971844353103,1.995415450688392e-06
1000,0.06587576227815675,0.2025389744522193,0.25666274033867237,0.7280070560517449,2.3068537599085745e-06,0.05915436895465721,0.1904436621396822,0.2432167119148214,0.7432673809225635,1.8691238340918276e-06
1500,0.05409650650759293,0.18283416800118185,0.2325865570225264,0.7994099891071712,2.8758714017689104e-06,0.061845147193741734,0.19401850902302512,0.24868684563873042,0.7391445751158929,2.245455783646443e-06
2000,0.04858411840993788,0.16779399579889126,0.22041805372958423,0.8162920832711217,2.8828120660665053e-06,0.05145850425872334,0.1664289033728891,0.22684466989268964,0.7809767600108147,2.140315306648793e-06
2500,0.05177676692101758,0.17922217571148918,0.22754508766619766,0.7925929055635011,2.6150726016833436e-06,0.05519816269293797,0.18338193404689457,0.23494289240778912,0.76344094694741,2.149552736745045e-06
3000,0.03473602465868939,0.14508999560784533,0.18637603026861954,0.8729268633674491,3.174078392099179e-06,0.04271898872618085,0.16057278719773377,0.20668572453408787,0.8224517697851179,2.4300438420595113e-06
3500,0.033461777522436134,0.13975716310498895,0.1829256065247185,0.8807281986843,3.264417332992953e-06,0.04572523534449029,0.16167149689581084,0.21383459809977032,0.8138944057528226,2.6066172813023226e-06
5000,0.03096299313240732,0.1382498637205764,0.17596304479181793,0.8786657909726678,2.9748411514416156e-06,0.04053438748102177,0.15595220546996647,0.20133153623072012,0.8337497351365144,2.3048385659877827e-06
7500,0.024349361438147622,0.12076746549559286,0.15604281924570454,0.9076967350790857,3.1975858316922877e-06,0.038796209921688404,0.14543592081231424,0.19696753519727153,0.841163817269747,2.3723398612995416e-06
10000,0.020303538113726295,0.11559917765904615,0.1424904842918512,0.9203712465800225,3.0867762862661784e-06,0.03828622515685011,0.14752855050033062,0.19566866166264363,0.8441151157129861,2.3541007824459884e-06
15000,0.01239265079566438,0.08183916739010295,0.11132228346411324,0.9523577934091221,3.297759699962564e-06,0.038053137142151125,0.1448420998518273,0.19507213317681008,0.8454069964266502,2.350183645068314e-06
20000,0.014123208337802864,0.09027355891649197,0.1188411054214949,0.9462216599161675,3.31768987811983e-06,0.036133249342829674,0.1398525644683787,0.19008747813264731,0.8525630747352999,2.4772970155927027e-06
