n_observations,bayesian_0_mse,bayesian_0_mae,bayesian_0_rmse,bayesian_0_correlation,bayesian_0_covariance,bayesian_adaptive_search_binary_1_mse,bayesian_adaptive_search_binary_1_mae,bayesian_adaptive_search_binary_1_rmse,bayesian_adaptive_search_binary_1_correlation,bayesian_adaptive_search_binary_1_covariance,logistic_normal_mcmc_2_mse,logistic_normal_mcmc_2_mae,logistic_normal_mcmc_2_rmse,logistic_normal_mcmc_2_correlation,logistic_normal_mcmc_2_covariance,dirichlet_3_mse,dirichlet_3_mae,dirichlet_3_rmse,dirichlet_3_correlation,dirichlet_3_covariance,spatial_4_mse,spatial_4_mae,spatial_4_rmse,spatial_4_correlation,spatial_4_covariance
100,0.15436958923458152,0.32165022463062093,0.39289895550202414,0.32728578942307796,9.846338372850061e-07,0.12316429988245765,0.28594294553444394,0.35094771673635045,0.2845452177938174,4.064862443559971e-07,0.17425315923944978,0.33030711297227094,0.417436413408617,0.2924774146980583,9.583659035182866e-07,0.33584577645818303,0.45887333891818205,0.5795220241355655,0.13280385799353991,6.472034543399485e-07,1.9070238977705931,1.0759481665083876,1.3809503603571684,0.1398698863293271,1.8779408001587033e-06
250,0.09494254443836736,0.23257217679814865,0.3081274808230635,0.5593493252891616,1.4580829234943804e-06,0.09636322514214883,0.24772985411360587,0.31042426635517534,0.6351561662616141,6.024496825908122e-07,0.08130379242867879,0.22397648270501486,0.285138198824147,0.6233235679974514,1.215756320808246e-06,0.3076725424172444,0.43100991643592534,0.5546823797609263,0.27392272184295885,1.4092680256406607e-06,0.7329592709021413,0.664903288160398,0.856130405313432,0.29064680177070285,2.5035844063441093e-06
500,0.08717728116066148,0.23630307000762574,0.29525799084980153,0.6729913006620251,2.395492554274083e-06,0.07858276257313171,0.22137668165735883,0.2803261717591344,0.6727113643888337,1.0738195819711487e-06,0.0748678562741758,0.2187938464778837,0.2736199120571743,0.6905802036474527,2.1931459717834667e-06,0.18564839863069346,0.3291091465837205,0.4308693521599018,0.5327039115826273,2.560042061311733e-06,0.29605631873675786,0.42060347708259,0.5441105758361602,0.5559965386089601,3.5306221295537925e-06
750,0.06714285028347682,0.2098106471559622,0.2591193745814404,0.71718719170531,2.1982117686002235e-06,0.08094677193166042,0.22422500172574533,0.2845114618634202,0.6526473228407143,1.0432937013119258e-06,0.06360869107124935,0.2010294166505846,0.25220763483933106,0.7235333666237068,1.6520989996107301e-06,0.1727462620172812,0.3356451572040232,0.4156275520430295,0.5128223319663221,2.2936400605281327e-06,0.22058820110725524,0.37747251761576706,0.4696681819191665,0.5360462394732023,2.862374584375422e-06
1000,0.06451712422662163,0.19306538496395406,0.25400221303488996,0.7449808547255504,2.5063963265483343e-06,0.07200555903954918,0.20810476419103438,0.2683385157586387,0.6851232104390615,1.3558115986226886e-06,0.0606145480418421,0.1876483582481287,0.24620021941875297,0.7390703096830695,2.1213672100044833e-06,0.13931931883583276,0.291865646503184,0.3732550318961993,0.6241102102958687,2.840214815132774e-06,0.1738994754587372,0.327394679894443,0.41701256031292055,0.6406227199435984,3.372565053277832e-06
1500,0.04704568708577976,0.17241309599100477,0.21690017769882017,0.8181652504630408,2.8234667484779665e-06,0.06249107564953123,0.19898780627764573,0.24998215066186472,0.7573029501656194,1.4407618267813566e-06,0.05546565906659596,0.17703745132835888,0.23551148393782406,0.7616044056978152,2.1037783922692502e-06,0.11265456669696239,0.2612591580182286,0.3356405319638294,0.6940270793912563,3.1136963706001102e-06,0.11457209735924166,0.2634450996376656,0.33848500315263846,0.7257305727236102,3.463032757648482e-06
2000,0.04886172830691336,0.16255378666799725,0.22104689164725516,0.8163363898486169,2.899661569939317e-06,0.049283077131780983,0.1686321799413038,0.2219979214582447,0.8006362992661105,1.9174582879188243e-06,0.05431960827068646,0.16960973768194287,0.23306567372885792,0.7706025375394692,2.2953931267216415e-06,0.090858549658997,0.2325677270706723,0.30142751974396265,0.7426764954176924,3.226039752853582e-06,0.09567721345153309,0.23668214059801373,0.30931733454744026,0.7594659695367091,3.5027869067170675e-06
2500,0.04672292533438098,0.16906082253156676,0.2161548642394637,0.8189098067679456,2.817072738763136e-06,0.06255667101205753,0.19901266882478758,0.2501133163429279,0.7276229830808209,1.7104190824336175e-06,0.058689225590417365,0.1879902873218314,0.24225859239749858,0.748163348071365,2.151790761830787e-06,0.0670467215698286,0.21091111724007944,0.2589338169684072,0.7752206598483192,3.0199750767078838e-06,0.06719500875993235,0.20758352382363301,0.2592200006942604,0.7917541292339119,3.2382861525769355e-06
3000,0.03471407578646147,0.14441398525194868,0.18631713766173383,0.8793490691742583,3.3154874496536807e-06,0.047725237274866696,0.17162664362278843,0.21846106581005847,0.8135292890361568,1.891311461930922e-06,0.04270240826845031,0.16174357937611264,0.20664561032949696,0.8229285223480218,2.47390779829015e-06,0.05594640557178339,0.18435628232163773,0.23652992531978567,0.8400477739673167,3.5525065704490246e-06,0.05539465967426455,0.18373327593312003,0.2353607012104284,0.8548776482155593,3.7441997906987454e-06
3500,0.03020962550198123,0.13237909862778122,0.17380916403337665,0.8931471191165276,3.3248650319419057e-06,0.03982317893618153,0.1532821320181129,0.19955745773130487,0.8362829491821899,2.359782574573248e-06,0.04513199864132513,0.15863234130719853,0.21244293031617958,0.8160890792230737,2.6056820632785427e-06,0.042903800626387864,0.16236252330536846,0.20713232636744044,0.8744367464083735,3.6175942137551163e-06,0.042639290687696056,0.1591636824124607,0.2064928344705841,0.8856377200715428,3.786903882008765e-06
